row,column,linux_code,linux_name,upsilon_name,ion_key
1,0,25,KEY_P,ee,EE
1,1,40,KEY_APOSTROPHE,zero,Zero
1,2,20,KEY_T,divide,Division
1,3,45,KEY_X,multiply,Multiplication
1,4,51,KEY_COMMA,minus,Minus
1,5,39,KEY_SEMICOLON,plus,Plus
1,6,57,KEY_SPACE,space,PrimeAlphaSpace
1,7,105,KEY_LEFT,left,Left
2,0,14,KEY_BACKSPACE,backspace,Backspace
2,1,32,KEY_D,xnt,XNT
2,2,46,KEY_C,units,PrimeAlphaC
2,3,56,KEY_LEFTALT,alpha,Alpha
2,4,18,KEY_E,fraction,PrimeAlphaE
2,5,30,KEY_A,var,Var
2,6,34,KEY_G,sin,Sine
2,7,48,KEY_B,toolbox,Toolbox
3,0,50,KEY_M,plusminus,PrimeAlphaM
3,1,38,KEY_L,square,Square
3,2,37,KEY_K,log,Log
3,3,36,KEY_J,ln,Ln
3,4,23,KEY_I,tan,Tangent
3,5,35,KEY_H,cos,Cosine
3,6,42,KEY_LEFTSHIFT,shift,Shift
3,7,33,KEY_F,power,Power
4,0,61,KEY_F3,num,PrimeNum
4,1,60,KEY_F2,plot,PrimePlot
4,2,59,KEY_F1,symb,PrimeSymb
4,3,125,KEY_LEFTMETA,home,Home
4,4,139,KEY_MENU,,
4,5,108,KEY_DOWN,down,Down
4,6,1,KEY_ESC,back,Back
4,7,49,KEY_N,parenthesis,LeftParenthesis
5,0,31,KEY_S,nine,Nine
5,1,29,KEY_LEFTCTRL,,
5,2,64,KEY_F6,menu,PrimeMenu
5,3,63,KEY_F5,view,PrimeView
5,4,103,KEY_UP,up,Up
5,5,21,KEY_Y,one,One
5,6,52,KEY_DOT,dot,Dot
5,7,62,KEY_F4,help,PrimeHelp
6,0,24,KEY_O,comma,Comma
6,1,19,KEY_R,eight,Eight
6,2,16,KEY_Q,seven,Seven
6,3,17,KEY_W,six,Six
6,4,47,KEY_V,five,Five
6,5,22,KEY_U,four,Four
6,6,53,KEY_SLASH,three,Three
6,7,44,KEY_Z,two,Two
7,0,28,KEY_ENTER,ok,OK
7,1,106,KEY_RIGHT,right,Right
